x, y, z, red, green, blue, intensity
-1.93722, 0.00928125, -12.8262, 205, 205, 20, 1
-1.734, 0.0151666, -12.8332, 205, 205, 20, 1
-1.68923, 0.0181923, -12.8141, 205, 205, 20, 1
-1.67143, 0.0222857, -12.8249, 205, 205, 20, 1
-1.97504, 0.0563667, -12.8183, 205, 205, 20, 1
-1.957, 0.0445, -12.8025, 205, 205, 20, 1
-1.69825, 0.057, -12.8083, 205, 205, 20, 1
-1.67044, 0.0601667, -12.8142, 205, 205, 20, 1
-1.98607, 0.103793, -12.8164, 205, 205, 20, 1
-1.65914, 0.0943095, -12.8232, 205, 205, 20, 1
-2.0085, 0.1505, -12.8205, 205, 205, 20, 1
-1.98316, 0.141716, -12.8197, 205, 205, 20, 1
-1.653, 0.1595, -12.8055, 205, 205, 20, 1
-2.00357, 0.182929, -12.8168, 205, 205, 20, 1
-1.968, 0.174833, -12.8201, 205, 205, 20, 1
-1.95543, 0.194205, -12.8193, 205, 205, 20, 1
-1.653, 0.1675, -12.8015, 205, 205, 20, 1
-1.93697, 0.215449, -12.8195, 205, 205, 20, 1
-1.91307, 0.235547, -12.8199, 205, 205, 20, 1
-1.68929, 0.2305, -12.8294, 205, 205, 20, 1
-1.653, 0.2015, -12.8075, 205, 205, 20, 1
-1.89388, 0.250335, -12.8192, 205, 205, 20, 1
-1.8604, 0.268213, -12.8186, 205, 205, 20, 1
-1.8204, 0.277719, -12.8187, 205, 205, 20, 1
-1.77603, 0.277194, -12.8145, 205, 205, 20, 1
-1.74521, 0.272686, -12.8083, 205, 205, 20, 1
-1.70946, 0.260042, -12.8141, 205, 205, 20, 1
-1.8015, 0.293, -12.8147, 205, 205, 20, 1
-1.77555, 0.292007, -12.817, 205, 205, 20, 1
-1.74556, 0.292975, -12.819, 205, 205, 20, 1
-1.71733, 0.285833, -12.8348, 205, 205, 20, 1
-1.84727, -0.0407, -12.7875, 205, 205, 20, 1
-1.82604, -0.0407716, -12.7821, 205, 205, 20, 1
-1.781, -0.0487857, -12.7781, 205, 205, 20, 1
-1.74611, -0.0443889, -12.7752, 205, 205, 20, 1
-1.72, -0.0445, -12.7965, 205, 205, 20, 1
-1.9255, -0.00649991, -12.7765, 205, 205, 20, 1
-1.89631, -0.0207526, -12.7816, 205, 205, 20, 1
-1.86233, -0.0359881, -12.7783, 205, 205, 20, 1
-1.80769, -0.0394429, -12.7756, 205, 205, 20, 1
-1.78655, -0.0369848, -12.7808, 205, 205, 20, 1
-1.74239, -0.0240161, -12.7783, 205, 205, 20, 1
-1.709, -0.0138333, -12.7712, 205, 205, 20, 1
-1.96548, 0.0335952, -12.7805, 205, 205, 20, 1
-1.94721, 0.01942, -12.7769, 205, 205, 20, 1
-1.919, 0.00849996, -12.7875, 205, 205, 20, 1
-1.72233, 0.0018333, -12.7985, 205, 205, 20, 1
-1.692, 0.00949989, -12.7615, 205, 205, 20, 1
-1.66575, 0.029, -12.7735, 205, 205, 20, 1
-1.97431, 0.056375, -12.7803, 205, 205, 20, 1
-1.9475, 0.0605, -12.7805, 205, 205, 20, 1
-1.917, 0.0405, -12.7725, 205, 205, 20, 1
-1.668, 0.064569, -12.7774, 205, 205, 20, 1
-1.98458, 0.106026, -12.7802, 205, 205, 20, 1
-1.65823, 0.0981667, -12.7732, 205, 205, 20, 1
-1.98095, 0.140283, -12.7791, 205, 205, 20, 1
-1.654, 0.12875, -12.7787, 205, 205, 20, 1
-1.96705, 0.172744, -12.7789, 205, 205, 20, 1
-1.95456, 0.192269, -12.7776, 205, 205, 20, 1
-1.93522, 0.215611, -12.78, 205, 205, 20, 1
-1.9138, 0.23365, -12.7775, 205, 205, 20, 1
-1.6871, 0.22915, -12.7749, 205, 205, 20, 1
-1.67495, 0.216895, -12.7784, 205, 205, 20, 1
-1.89305, 0.249813, -12.7795, 205, 205, 20, 1
-1.8618, 0.266785, -12.7796, 205, 205, 20, 1
-1.82119, 0.276983, -12.7786, 205, 205, 20, 1
-1.78599, 0.278013, -12.7777, 205, 205, 20, 1
-1.73969, 0.27013, -12.7796, 205, 205, 20, 1
-1.70457, 0.250608, -12.7658, 205, 205, 20, 1
-1.7815, 0.288867, -12.7811, 205, 205, 20, 1
-1.74092, 0.293458, -12.7842, 205, 205, 20, 1
-1.71475, 0.28775, -12.7968, 205, 205, 20, 1
-1.826, -0.0404999, -12.7575, 205, 205, 20, 1
-1.78133, -0.0490333, -12.7398, 205, 205, 20, 1
-1.738, -0.0415, -12.7485, 205, 205, 20, 1
-1.922, -0.00273082, -12.7378, 205, 205, 20, 1
-1.90117, -0.0142609, -12.7395, 205, 205, 20, 1
-1.86021, -0.0343387, -12.739, 205, 205, 20, 1
